survey.pages,neighborhood,meeting.location,work.needed,district,location,coordinates,budget.project,project.description,project.category,equity,workforce.entrepr,children.families,crit.infrastructure,crit.communities,grn.infrastructure,mobility,climate,arts.culture,housing,additional.priorities,budget.project.2,issue.understanding,consider.pov,voice.heard,share.stories,neighbor.engagement,future.attendance,other.issues,budget.project.3,addtl.feedback,budget.project.4
241-244,FINEVIEW,SOUTH SIDE,"REMOVE ASPHALT THAT COVERED A STORMWATER DRAIN 2+ YEARS AGO BY MISTAKE.  THE WATER COLLECTS AND IS DESTROYING AN ALLEY NEEDED FOR ACCESS.  I HAVE BEEN WRITING TO CITY COUNCIL + 311 FOR OVER A YEAR TO NO AVAIL.  THE ALLEY IS THE ONLY ACCESS TO LAFAYETTE AVENUE FOR 8 HOUSES IN FINEVIEW.  WHEN IT RAINS A LARGE PUDDLE FORMS AND PREVENTS PEDESTRIANS FROM GETTING TO LAFAYETTE AVENUE.  PLUS, THE WATER IS DESTROYING THE ALLEY BEHIND 338 LAFAYETTE AVE 15214",1,AT THE TOP OF THE GLENROSE CITY STEPS NEAR THE MCNOUGHER RESERVOIR ON FEDDERER WAY,"40.465563, -80.005812",FLOOD CONTROL,[BLANK],,[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],,[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],,[BLANK],
245-248,UPTOWN,SOUTH SIDE,RECREATION CENTER W/ YOUTH ACTIVITIES,CITY-WIDE,ALL,,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,INCREASED ACCESSIBILITY ACROSS THE BOARD,ADA COMPLIANCE,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,ACCESSIBILITY,ADA COMPLIANCE,NOT AT ALL,NOT AT ALL,A LITTLE,VERY,VERY,DEFINITELY YES,ACCESSIBILITY.,ADA COMPLIANCE,HOW CAN WE ELIMINATE UPMC'S TAX-EXEMPT STATUS?,
245-248,UPTOWN,SOUTH SIDE,REPAIRS OF SIDEWALK CURB CUTS,CITY-WIDE,MULTIPLE,,RAMP AND PUBLIC SIDEWALK,,,,,,,,,,,,,,,,,,,,,AFFORDABLE HOUSING.,ECONOMIC DEVELOPMENT AND HOUSING,,
245-248,UPTOWN,SOUTH SIDE,REDUCE SPEED ON WATSON ST. W/ GENTLE SPEED HUMPS (THAT A WHEELCHAIR COULD GET OVER),6,WATSON ST.,"40.438086, -79.984169",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,TAXING NON-PROFITS.,,,
245-248,UPTOWN,SOUTH SIDE,VACANT LOT NEXT TO MY BUILDING IS SINKING,6,2010 FIFTH,"40.438065, -79.977152",REMEDIATION OF CONDEMNED BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,
249-252,HIGHLAND PARK,SOUTH SIDE,[BLANK],,[BLANK],,,STREET RESURFACING,STREET RESURFACING,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,N/A,,SOMEWHAT,VERY,SOMEWHAT,VERY,VERY,DEFINITELY YES,N/A,,[BLANK],
253-256,MT. WASHINGTON DUQUESNE HEIGHTS,SOUTH SIDE,EILEEN MCCOY PARK - RESURFACE THE PLAYGROUND,2,SHALER STREET MT. WASHINGTON DUQUESNE HEIGHTS,"40.438188, -80.024446",PLAY AREA IMPROVEMENTS,CITY OWNED SIDEWALKS,RAMP AND PUBLIC SIDEWALK,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,RE-ZONE THE POLICE STATIONS BACK TO THEIR NEIGHBORHOODS.  NEED MORE POLICE PATROLLING THE NEIGHBORHOODS.  DRUGS + THEFTS IS A PROBLEM IN DUQUESNE HTS!!!,,SOMEWHAT,SOMEWHAT,SOMEWHAT,VERY,SOMEWHAT,PROBABLY YES,NEIGHBORHOOD SAFETY + MOBILITY,,THE DUQUESNE HEIGHTS NEIGHBORHOOD + MT. WASHINGTON IS ERODING IN DRUG SALES + USE.  THEFT IS ALSO GROWING - SEE THE POLICE REPORTS.  IT IS REAL,
253-256,MT. WASHINGTON DUQUESNE HEIGHTS,SOUTH SIDE,"REBUILD THE ""CITY OWNED"" SIDEWALK ON THE 1500 BLOCK OF RUTLEDGE STREET.  A ""MAJOR"" SAFETY CONCERN - TOTALLY BROKEN APART",2,"DUQUESNE HEIGHTS 
MT. WASHINGTON
RUTLEDGE STREET"," 40.439148, -80.022587",RAMP AND PUBLIC SIDEWALK,RESURFACE NEIGHBORHOOD PARKS/PLAYGROUNDS,PLAY AREA IMPROVEMENTS,,,,,,,,,,,,,,,,,,,INCREASE PUBLIC PARKING DOWNTOWN + ON THE NORTH SIDE,,,
253-256,MT. WASHINGTON DUQUESNE HEIGHTS,SOUTH SIDE,MORE PUBLIC PARKING,"1, 6","DOWNTOWN PGH
NORTH SIDE",,,CLEAN UP THE DRUGS + CRIME THAT IS GROWING IN DUQUESNE HTS,,,,,,,,,,,,,,,,,,,,,,,
253-256,MT. WASHINGTON DUQUESNE HEIGHTS,SOUTH SIDE,"ADDRESS THE ""EMPTY PIT"" LOT THAT'S BEEN THERE FOR OVER 10 YRS - UNCALLED FOR",2,CORNER OF AUGUSTA ST + GRANDVIEW AVE,"40.439148, -80.022587",REMEDIATION OF CONDEMNED BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,
257-260,POINT BREEZE,SOUTH SIDE,ADDITIONAL STREET CAMERAS (THERE HAS BEEN A LOT OF THEFT IN THE AREA),8,GETTYSBURG STREET,"40.448843, -79.916279",,EVERYTHING SHOULD BE DONE W/ A CLIMATE & RESILIENCY LENS AND IT SHOULD INCLUDED IN THE SCORING CRITERIA.  PA PAYS THE MOST IN TERMS OF FLOODING DAMAGE THAT IS NOT A COASTAL STATE.  DOING NOTHING WILL BE $$$ IN THE MEDIUM/LONG-TERM,FLOOD CONTROL,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,"THIS IS STUPID.  THEY ARE ALREADY PRIORITIES (AND COMMON SENSE) AND INTER-RELATED.  NOT A GOOD USE OF TIME.

MANY ARE DISAPPOINTED ABOUT THE INACTION ON ACTUAL CLIMATE PROJECTS BE IMPLEMENTED.  FURTHER, THE INCREASINGLY BAD AIR QUALITY FROM US STEEL AMONG OTHERS.",,VERY,A LITTLE,NOT AT ALL,VERY,[BLANK],PROBABLY YES,UPMC AND OTHER LARGE LANDHOLDERS BEING TAX EXEMPT,,[BLANK],
257-260,POINT BREEZE,SOUTH SIDE,,,,,,BUS RAPID TRANSIT,BUS RAPID TRANSIT (BRT),,,,,,,,,,,,,,,,,,,"IMPLICIT BIAS, EQUITY, AND INCLUSION",,,
257-260,POINT BREEZE,SOUTH SIDE,,,,,,STREET CALMING (SAFETY),COMPLETE STREETS,,,,,,,,,,,,,,,,,,,CLIMATE,,,
257-260,POINT BREEZE,SOUTH SIDE,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENT TRENDS,,,
261-264,[BLANK],SOUTH SIDE,"WHEN WORK IS DONE ON OUR BRICK STREETS, REPLACE THE WORK DONE WITH BRICKS.  THESE BRICK STREETS ADD TO THE CHARACTER OF OUR NEIGHBORHOOD - REGENT SQUARE",5,CORNER OF OVERTON & LACLAIR HAS AN ASPHALT REPAIR THAT NEEDS TO BE REPLACED.  ,"40.433353, -79.896990",STREET RESURFACING,REPAIR OF THE TRAILS IN OUR CITY PARKS,TRAIL DEVELOPMENT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,,,VERY,VERY,VERY,VERY,SOMEWHAT,PROBABLY YES,[BLANK],,[BLANK],
261-264,[BLANK],SOUTH SIDE,"WHEN WORK IS DONE ON OUR BRICK STREETS, REPLACE THE WORK DONE WITH BRICKS.  THESE BRICK STREETS ADD TO THE CHARACTER OF OUR NEIGHBORHOOD - REGENT SQUARE",5,THE ALLEY BETWEEN RICHMOND & TREVANION WHERE A CONTRACTOR REPLACED A WATERLINE HAS BEEN FILLED WITH CONCRETE,"40.427904, -79.896851",STREET RESURFACING,,,,,,,,,,,,,,,,,,,,,,,,
261-264,[BLANK],SOUTH SIDE,RESURFACING OF THE ALLEY BETWEEN LANCASTER & MACON STREETS IN REGENT SQUARE,5,,"40.430316, -79.896688",STREET RESURFACING,TIMELY LEAF & DEBRIS PICKUP IN THE FALL IN OUR NEIGHBORHOOD,,,,,,,,,,,,,,,,,,,,,,,
261-264,[BLANK],SOUTH SIDE,,,,,,THE CITY DOESN'T NEED TO STREET SWEEP ON A MONTHLY BASIS DURING THE SUMMER.  EVERY OTHER MONTH DURING THE SUMMER IS MORE COST EFFECTIVE.  THE PERCEPTION IS THAT THE EXORBITANT TICKETING THAT ACCOMPANIES THE STREET SWEEPING IS A WAY FOR THE CITY TO GAIN REVENUE ON THE BACKS OF ITS RESIDENTS,,,,,,,,,,,,,,,,,,,,,,,
265-268,SOUTH SIDE FLATS,SOUTH SIDE,[BLANK],,[BLANK],,,STAIRS,STEP REPAIR AND REPLACEMENT,IMPORTANT,[BLANK],IMPORTANT,IMPORTANT,[BLANK],[BLANK],[BLANK],[BLANK],IMPORTANT,IMPORTANT,[BLANK],,SOMEWHAT,VERY,SOMEWHAT,VERY,VERY,DEFINITELY YES,,,IN OTHER DELIBERATIVE FORUMS THE PANELISTS WALK AROUND EVESDROPPING ON THE CONVERSATIONS @ THE TABLES BUT NOT JOINING IN .  THIS GIVES THE PANELISTS A BETTER SENSE OF EVERYTHING DISCUSSED INCLUDING NUANCES.  THIS MAY ADD TO THEIR RESPONSES TO THE QUESTIONS BUT ALSO IDEAS TO TAKE BACK TO THE OFFICE.,
265-268,SOUTH SIDE FLATS,SOUTH SIDE,,,,,,STREETS,STREET RESURFACING,,,,,,,,,,,,,,,,,,,,,,
265-268,SOUTH SIDE FLATS,SOUTH SIDE,,,,,,PLAY AREAS,PLAY AREA IMPROVEMENTS,,,,,,,,,,,,,,,,,,,,,,
265-268,SOUTH SIDE FLATS,SOUTH SIDE,,,,,,HOUSING - AFFORDABLE HOUSING NEEDS TO BE A PRIORITY - THOSE CONCEPTS IN PLACE (ON THE PALLET) NEED TO BE STRENGTHENED + NEED SOME POLITICAL WILL FOR THIS - FRUSTRATING!!!,HOUSING AND ECONOMIC DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,
269-272,CARRICK,SOUTH SIDE,CROSSWALK REPAINTED,4,BROWNSVILLE RD AT CLIFTON BLVD,"40.386896, -79.981922",COMPLETE STREETS,"MT WASHINGTON, NORTH OAKLAND - PUBLIC TOILETS",,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,[BLANK],,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,DEFINITELY YES,FIX ALL CITY STREETS,STREET RESURFACING,MORE ON THE URA,
269-272,CARRICK,SOUTH SIDE,FLASHING CROSSWALK SIGN,4,BROWNSVILLE RD AT CLIFTON BLVD,"40.386896, -79.981922",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
269-272,CARRICK,SOUTH SIDE,CITY STEPS,CITY-WIDE,ALL ACROSS THE CITY,,STEP REPAIR AND REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,,,
273-276,BEECHVIEW,SOUTH SIDE,[BLANK],,[BLANK],,,RE-SURFACING BRICK STREETS I.E. 1300 BLOCK OF FALLOWFIELD AVE,STREET RESURFACING,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,[BLANK],,VERY,SOMEWHAT,SOMEWHAT,SOMEWHAT,VERY,DEFINITELY YES,[BLANK],,THANK YOU!,
277-280,ARLINGTON,SOUTH SIDE,CITY WALL AND FENCE (WALL SUPPORTING THE STREET IS CRUMBLING AND THE FENCE IS EITHER FALLING APART OR SECTIONS MISSING),3,ARLINGTON AVE.,"40.417852, -79.979766",SLOPE FAILURE REMEDIATION,STREET RESURFACING,STREET RESURFACING,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,ACCESSIBILITY,,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,PROBABLY YES,[BLANK],,[BLANK],
277-280,ARLINGTON,SOUTH SIDE,ROAD RESURFACING,3,JOSEPHINE STREET AND ARLINGTON AVE.,"40.417385, -79.965433",STREET RESURFACING,STREET LIGHTS,STREET LIGHTS,,,,,,,,,,,,,,,,,,,,,,
281-284,HIGHLAND PARK,SOUTH SIDE,TRAIL MAINTENANCE IN HIGHLAND PARK,7,HIGHLAND PARK,"40.483044, -79.912643",TRAIL DEVELOPMENT,BIKE LANES + CONNECTING LANE SO SAFE ROUTE FROM HIGHLAND PARK TO DOWNTOWN,COMPLETE STREETS,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,NOT IMPORTANT,FORCING UPMC TO ACCEPT HIGHMARK INSURANCE,,SOMEWHAT,VERY,VERY,SOMEWHAT,VERY,DEFINITELY YES,THE WHOLE UPMC/HIGHMARK THING,,,
281-284,HIGHLAND PARK,SOUTH SIDE,,,,,,CCTV CAMERAS IN HIGH CRIME AREAS,,,,,,,,,,,,,,,,,,,,PITTSBURGH PUBLIC SCHOOLS,,,
281-284,HIGHLAND PARK,SOUTH SIDE,,,,,,SECURE THE CITY AGAINST CYBER ATTACKS,,,,,,,,,,,,,,,,,,,,,,,
285-288,[BLANK],SOUTH SIDE,TRAFFIC SLOWING/ENFORCEMENT,5,BEECHWOOD BLVD AT PARKWAY EXIT TO HAZELWOOD,"40.428326, -79.931736",COMPLETE STREETS,TRAFFIC SLOWING/SPEED ENFORCEMENT,COMPLETE STREETS,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,[BLANK],,VERY,VERY,VERY,VERY,VERY,DEFINITELY YES,"DOMI ISSUES: BIKE LANES, STREETS, SIDEWALKS",COMPLETE STREETS,,
285-288,[BLANK],SOUTH SIDE,SIDEWALKS ON BEECHWOOD FROM GREENFIELD BRIDGE TO HAZELWOOD AVE,5,[BEECHWOOD BLVD FROM GREENFIELD BRIDGE TO HAZELWOOD AVE],"40.425651, -79.926745",RAMP AND PUBLIC SIDEWALKS,,,,,,,,,,,,,,,,,,,,,"DOMI ISSUES: BIKE LANES, STREETS, SIDEWALKS",SIDEWALKS,,
285-288,[BLANK],SOUTH SIDE,PORT O JOHN/BATHROOM AT DAVIS PLAYGROUND,5,[DAVIS PLAYGROUND],"40.432480, -79.925062",PLAY AREA IMPROVEMENTS,,,,,,,,,,,,,,,,,,,,,,,,
285-288,[BLANK],SOUTH SIDE,"STREET MARKING FOR BIKE INFRASTRUCTURE
BIKE LANES, SHARROWS, ETC. (WEAR OUT QUICKLY)",5,,,COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
289-292,MANCHESTER,SOUTH SIDE,[BLANK],,[BLANK],,,WE HAVE A SMALL AMOUNT OF RECREATION CENTERS AND OST IS NOT GREAT.  ADDRESSING THESE AREAS WOULD BE NICE.,FACILITY IMPROVEMENT: RECREATION & SENIOR CENTERS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,[BLANK],,SOMEWHAT,A LITTLE,A LITTLE,A LITTLE,NOT AT ALL,PROBABLY YES,N/A,,N/A,
293-296,[BLANK],SOUTH SIDE,SELDOM SEEN GREENWAY COULD BE A GREAT CITY ASSET.  THIS PARK NEEDS INFRASTRUCTURE,2,[SAW MILL RUN BLVD],"40.425923, -80.020763",PARK RECONSTRUCTION,"SMALLER CITY PARKS NEED PAVED PATHS, LIGHTING FOR SAFETY, AND TOILETS.  CITY PARK INFRASTRUCTURE NEEDS IMPROVEMENT.",PARK RECONSTRUCTION,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,AFFORDABLE HOUSING,ECONOMIC DEVELOPMENT AND HOUSING,SOMEWHAT,SOMEWHAT,SOMEWHAT,A LITTLE,SOMEWHAT,PROBABLY YES,[BLANK],,[BLANK],
293-296,[BLANK],SOUTH SIDE,POLICE STATIONS,CITY-WIDE,THE POLICE ARE DISTRIBUTED TOO THINLY AND HAVE TOO FEW STATIONS.  MORE SMALLER STATIONS MAY IMPROVE PUBLIC SAFETY,,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,,,,,,,,,,,,,TRANSPORTATION,,,,,,,,,,,
293-296,[BLANK],SOUTH SIDE,"LENGTHEN EXISTING T LINES TO SERVICE COMMUNITY
RENOVATED EXISTING STOPS",CITY-WIDE,T LINES + FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,,,
293-296,[BLANK],SOUTH SIDE,MANY POPULAR BUS STOPS ARE OPEN TO THE WEATHER.  WORK WITH COUNTY TO MAKE MORE SHELTERS,CITY-WIDE,BUS SHELTERS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
